score,runs_scored,balls_faced,strike_rate,fours,sixes,opposition,ground,date,odi_number
0,0,1,0,0,0,v Bangladesh,Chattogram,12/23/2004,ODI # 2199
12,12,11,109.09,2,0,v Bangladesh,Dhaka,12/26/2004,ODI # 2201
7*,7,2,350,0,1,v Bangladesh,Dhaka,12/27/2004,ODI # 2202
3,3,7,42.85,0,0,v Pakistan,Kochi,4/2/2005,ODI # 2235
148,148,123,120.32,15,4,v Pakistan,Visakhapatnam,4/5/2005,ODI # 2236
28,28,24,116.66,5,0,v Pakistan,Jamshedpur,4/9/2005,ODI # 2237
47,47,64,73.43,4,1,v Pakistan,Ahmedabad,4/12/2005,ODI # 2238
11,11,16,68.75,1,0,v Pakistan,Kanpur,4/15/2005,ODI # 2239
24,24,38,63.15,2,0,v Pakistan,Delhi,4/17/2005,ODI # 2240
2,2,7,28.57,0,0,v Sri Lanka,Dambulla,7/30/2005,ODI # 2262
15*,15,11,136.36,1,1,v West Indies,Dambulla,7/31/2005,ODI # 2263
20,20,27,74.07,1,0,v Sri Lanka,Dambulla,8/3/2005,ODI # 2265
28*,28,13,215.38,1,2,v West Indies,Colombo (RPS),8/7/2005,ODI # 2267
7,7,11,63.63,0,0,v Sri Lanka,Colombo (RPS),8/9/2005,ODI # 2268
2,2,5,40,0,0,v New Zealand,Bulawayo,8/26/2005,ODI # 2273
56,56,46,121.73,2,4,v Zimbabwe,Harare,8/29/2005,ODI # 2274
37*,37,27,137.03,3,2,v New Zealand,Harare,9/2/2005,ODI # 2278
67*,67,63,106.34,1,3,v Zimbabwe,Harare,9/4/2005,ODI # 2280
11,11,16,68.75,1,0,v New Zealand,Harare,9/6/2005,ODI # 2281
38,38,28,135.71,3,2,v Sri Lanka,Nagpur,10/25/2005,ODI # 2286
DNB,-,-,-,-,-,v Sri Lanka,Mohali,10/28/2005,ODI # 2287
183*,183,145,126.2,15,10,v Sri Lanka,Jaipur,10/31/2005,ODI # 2290
45*,45,43,104.65,1,2,v Sri Lanka,Pune,11/3/2005,ODI # 2291
0,0,1,0,0,0,v Sri Lanka,Ahmedabad,11/6/2005,ODI # 2294
DNB,-,-,-,-,-,v Sri Lanka,Rajkot,11/9/2005,ODI # 2295
80,80,73,109.58,9,3,v Sri Lanka,Vadodara,11/12/2005,ODI # 2296
17,17,28,60.71,1,0,v South Africa,Hyderabad (Deccan),11/16/2005,ODI # 2297
DNB,-,-,-,-,-,v South Africa,Bengaluru,11/19/2005,ODI # 2298
14,14,26,53.84,0,0,v South Africa,Kolkata,11/25/2005,ODI # 2299
12,12,26,46.15,1,0,v South Africa,Mumbai,11/28/2005,ODI # 2300
68,68,53,128.3,11,1,v Pakistan,Peshawar,2/6/2006,ODI # 2324
DNB,-,-,-,-,-,v Pakistan,Rawalpindi,2/11/2006,ODI # 2327
72*,72,46,156.52,13,0,v Pakistan,Lahore,2/13/2006,ODI # 2329
2*,2,5,40,0,0,v Pakistan,Multan,2/16/2006,ODI # 2331
77*,77,56,137.5,6,4,v Pakistan,Karachi,2/19/2006,ODI # 2333
20,20,28,71.42,2,0,v England,Delhi,3/28/2006,ODI # 2357
38,38,55,69.09,2,0,v England,Faridabad,3/31/2006,ODI # 2358
13*,13,6,216.66,1,1,v England,Margao,4/3/2006,ODI # 2359
10*,10,13,76.92,1,0,v England,Kochi,4/6/2006,ODI # 2360
96,96,106,90.56,10,3,v England,Jamshedpur,4/12/2006,ODI # 2361
3,3,10,30,0,0,v Pakistan,Abu Dhabi,4/18/2006,ODI # 2363
59,59,72,81.94,5,0,v Pakistan,Abu Dhabi,4/19/2006,ODI # 2364
18,18,11,163.63,2,1,v West Indies,Kingston,5/18/2006,ODI # 2377
2,2,7,28.57,0,0,v West Indies,Kingston,5/20/2006,ODI # 2379
15,15,26,57.69,1,0,v West Indies,Basseterre,5/23/2006,ODI # 2380
46*,46,58,79.31,6,0,v West Indies,Port of Spain,5/26/2006,ODI # 2381
14,14,19,73.68,2,0,v West Indies,Port of Spain,5/28/2006,ODI # 2382
DNB,-,-,-,-,-,v Sri Lanka,Colombo (SSC),8/18/2006,ODI # 2405
2,2,10,20,0,0,v West Indies,Kuala Lumpur,9/14/2006,ODI # 2414
DNB,-,-,-,-,-,v Australia,Kuala Lumpur,9/16/2006,ODI # 2416
18,18,13,138.46,4,0,v West Indies,Kuala Lumpur,9/20/2006,ODI # 2419
23,23,34,67.64,0,1,v Australia,Kuala Lumpur,9/22/2006,ODI # 2421
7,7,22,31.81,0,0,v England,Jaipur,10/15/2006,ODI # 2429
51,51,65,78.46,1,2,v West Indies,Ahmedabad,10/26/2006,ODI # 2437
28,28,23,121.73,2,0,v Australia,Mohali,10/29/2006,ODI # 2440
14,14,27,51.85,3,0,v South Africa,Durban,11/22/2006,ODI # 2447
55,55,48,114.58,3,4,v South Africa,Cape Town,11/26/2006,ODI # 2449
26,26,21,123.8,4,1,v South Africa,Port Elizabeth,11/29/2006,ODI # 2452
44,44,49,89.79,2,2,v South Africa,Centurion,12/3/2006,ODI # 2458
62*,62,42,147.61,3,4,v West Indies,Nagpur,1/21/2007,ODI # 2480
6,6,19,31.57,0,0,v West Indies,Cuttack,1/24/2007,ODI # 2485
40*,40,20,200,1,3,v West Indies,Vadodara,1/31/2007,ODI # 2493
TDNB,-,-,-,-,-,v Sri Lanka,Kolkata,2/8/2007,ODI # 2514
48,48,68,70.58,1,0,v Sri Lanka,Rajkot,2/11/2007,ODI # 2520
67*,67,74,90.54,4,0,v Sri Lanka,Margao,2/14/2007,ODI # 2522
DNB,-,-,-,-,-,v Sri Lanka,Visakhapatnam,2/17/2007,ODI # 2525
0,0,3,0,0,0,v Bangladesh,Port of Spain,3/17/2007,ODI # 2538
29,29,25,116,2,1,v Bermuda,Port of Spain,3/19/2007,ODI # 2542
0,0,1,0,0,0,v Sri Lanka,Port of Spain,3/23/2007,ODI # 2550
91*,91,106,85.84,7,0,v Bangladesh,Dhaka,5/10/2007,ODI # 2582
36,36,54,66.66,4,0,v Bangladesh,Dhaka,5/12/2007,ODI # 2583
2,2,4,50,0,0,v Africa XI,Bengaluru,6/6/2007,ODI # 2587
33,33,38,86.84,2,2,v Africa XI,Chennai,6/9/2007,ODI # 2588
139*,139,97,143.29,15,5,v Africa XI,Chennai,6/10/2007,ODI # 2589
0,0,4,0,0,0,v South Africa,Belfast,6/29/2007,ODI # 2593
14*,14,11,127.27,2,0,v South Africa,Belfast,7/1/2007,ODI # 2595
DNB,-,-,-,-,-,v Scotland,Glasgow,8/16/2007,ODI # 2608
19,19,60,31.66,1,0,v England,Southampton,8/21/2007,ODI # 2611
21,21,18,116.66,3,0,v England,Bristol,8/24/2007,ODI # 2613
13,13,20,65,0,0,v England,Birmingham,8/27/2007,ODI # 2616
13,13,18,72.22,1,0,v England,Manchester,8/30/2007,ODI # 2617
24,24,17,141.17,3,0,v England,Leeds,9/2/2007,ODI # 2618
35,35,37,94.59,3,0,v England,The Oval,9/5/2007,ODI # 2619
50,50,72,69.44,4,1,v England,Lord's,9/8/2007,ODI # 2620
DNB,-,-,-,-,-,v Australia,Bengaluru,9/29/2007,ODI # 2621
58,58,88,65.9,2,2,v Australia,Kochi,10/2/2007,ODI # 2623
33,33,37,89.18,4,0,v Australia,Hyderabad (Deccan),10/5/2007,ODI # 2625
50*,50,35,142.85,5,1,v Australia,Chandigarh,10/8/2007,ODI # 2627
4,4,7,57.14,1,0,v Australia,Vadodara,10/11/2007,ODI # 2629
26,26,29,89.65,2,1,v Australia,Nagpur,10/14/2007,ODI # 2631
5,5,11,45.45,1,0,v Australia,Mumbai,10/17/2007,ODI # 2632
63,63,77,81.81,8,0,v Pakistan,Guwahati,11/5/2007,ODI # 2643
4,4,10,40,0,0,v Pakistan,Mohali,11/8/2007,ODI # 2644
49,49,52,94.23,4,2,v Pakistan,Kanpur,11/11/2007,ODI # 2645
45*,45,45,100,3,1,v Pakistan,Gwalior,11/15/2007,ODI # 2646
24,24,32,75,1,0,v Pakistan,Jaipur,11/18/2007,ODI # 2647
37,37,61,60.65,1,0,v Australia,Brisbane,2/3/2008,ODI # 2670
88*,88,95,92.63,5,1,v Sri Lanka,Brisbane,2/5/2008,ODI # 2672
17*,17,54,31.48,0,0,v Australia,Melbourne,2/10/2008,ODI # 2675
31,31,26,119.23,3,0,v Sri Lanka,Canberra,2/12/2008,ODI # 2676
37,37,50,74,1,0,v Australia,Adelaide,2/17/2008,ODI # 2680
50*,50,68,73.52,0,0,v Sri Lanka,Adelaide,2/19/2008,ODI # 2681
36,36,66,54.54,4,0,v Australia,Sydney,2/24/2008,ODI # 2685
DNB,-,-,-,-,-,v Sri Lanka,Hobart,2/26/2008,ODI # 2686
15*,15,12,125,3,0,v Australia,Sydney,3/2/2008,ODI # 2688
36,36,37,97.29,2,1,v Australia,Brisbane,3/4/2008,ODI # 2689
24,24,23,104.34,5,0,v Pakistan,Dhaka,6/10/2008,ODI # 2705
DNB,-,-,-,-,-,v Bangladesh,Dhaka,6/12/2008,ODI # 2706
64,64,59,108.47,3,2,v Pakistan,Dhaka,6/14/2008,ODI # 2707
109*,109,96,113.54,6,6,v Hong Kong,Karachi,6/25/2008,ODI # 2716
26*,26,30,86.66,0,1,v Pakistan,Karachi,6/26/2008,ODI # 2717
DNB,-,-,-,-,-,v Bangladesh,Karachi,6/28/2008,ODI # 2721
76,76,96,79.16,4,0,v Pakistan,Karachi,7/2/2008,ODI # 2730
67,67,62,108.06,5,1,v Sri Lanka,Karachi,7/3/2008,ODI # 2732
49,49,74,66.21,4,0,v Sri Lanka,Karachi,7/6/2008,ODI # 2735
6,6,28,21.42,0,0,v Sri Lanka,Dambulla,8/18/2008,ODI # 2742
39,39,54,72.22,3,0,v Sri Lanka,Dambulla,8/20/2008,ODI # 2745
76,76,80,95,8,0,v Sri Lanka,Colombo (RPS),8/24/2008,ODI # 2750
71,71,80,88.75,4,0,v Sri Lanka,Colombo (RPS),8/27/2008,ODI # 2755
1,1,7,14.28,0,0,v Sri Lanka,Colombo (RPS),8/29/2008,ODI # 2756
39,39,32,121.87,3,1,v England,Rajkot,11/14/2008,ODI # 2774
15,15,26,57.69,1,0,v England,Indore,11/17/2008,ODI # 2777
29*,29,51,56.86,4,0,v England,Kanpur,11/20/2008,ODI # 2778
9,9,5,180,0,1,v England,Bengaluru,11/23/2008,ODI # 2781
50,50,61,81.96,5,0,v England,Cuttack,11/26/2008,ODI # 2783
61*,61,65,93.84,5,0,v Sri Lanka,Dambulla,1/28/2009,ODI # 2806
23,23,35,65.71,0,0,v Sri Lanka,Colombo (RPS),1/31/2009,ODI # 2810
35*,35,45,77.77,1,0,v Sri Lanka,Colombo (RPS),2/3/2009,ODI # 2813
94,94,96,97.91,4,2,v Sri Lanka,Colombo (RPS),2/5/2009,ODI # 2815
53,53,58,91.37,1,2,v Sri Lanka,Colombo (RPS),2/8/2009,ODI # 2818
84*,84,89,94.38,6,0,v New Zealand,Napier,3/3/2009,ODI # 2821
23*,23,19,121.05,2,0,v New Zealand,Wellington,3/6/2009,ODI # 2822
68,68,58,117.24,5,2,v New Zealand,Christchurch,3/8/2009,ODI # 2823
DNB,-,-,-,-,-,v New Zealand,Hamilton,3/11/2009,ODI # 2824
9,9,21,42.85,1,0,v New Zealand,Auckland,3/14/2009,ODI # 2825
41,41,46,89.13,2,1,v West Indies,Kingston,6/26/2009,ODI # 2852
95,95,130,73.07,6,2,v West Indies,Kingston,6/28/2009,ODI # 2853
46*,46,34,135.29,2,1,v West Indies,Gros Islet,7/3/2009,ODI # 2854
TDNB,-,-,-,-,-,v West Indies,Gros Islet,7/5/2009,ODI # 2855
35*,35,65,53.84,4,0,v New Zealand,Colombo (RPS),9/11/2009,ODI # 2886
8,8,18,44.44,0,0,v Sri Lanka,Colombo (RPS),9/12/2009,ODI # 2887
56,56,62,90.32,3,0,v Sri Lanka,Colombo (RPS),9/14/2009,ODI # 2889
3,3,9,33.33,0,0,v Pakistan,Centurion,9/26/2009,ODI # 2898
TDNB,-,-,-,-,-,v Australia,Centurion,9/28/2009,ODI # 2901
DNB,-,-,-,-,-,v West Indies,Johannesburg,9/30/2009,ODI # 2904
34,34,46,73.91,4,0,v Australia,Vadodara,10/25/2009,ODI # 2913
124,124,107,115.88,9,3,v Australia,Nagpur,10/28/2009,ODI # 2915
71*,71,95,74.73,6,0,v Australia,Delhi,10/31/2009,ODI # 2918
26,26,46,56.52,2,0,v Australia,Mohali,11/2/2009,ODI # 2919
6,6,15,40,0,0,v Australia,Hyderabad (Deccan),11/5/2009,ODI # 2923
24,24,77,31.16,1,0,v Australia,Guwahati,11/8/2009,ODI # 2925
72,72,53,135.84,7,3,v Sri Lanka,Rajkot,12/15/2009,ODI # 2932
107,107,111,96.39,8,2,v Sri Lanka,Nagpur,12/18/2009,ODI # 2933
TDNB,-,-,-,-,-,v Sri Lanka,Delhi,12/27/2009,ODI # 2936
37,37,70,52.85,3,0,v Sri Lanka,Dhaka,1/5/2010,ODI # 2938
101*,101,107,94.39,9,0,v Bangladesh,Dhaka,1/7/2010,ODI # 2939
DNB,-,-,-,-,-,v Sri Lanka,Dhaka,1/10/2010,ODI # 2941
32,32,35,91.42,3,0,v Bangladesh,Dhaka,1/11/2010,ODI # 2942
14,14,19,73.68,3,0,v Sri Lanka,Dhaka,1/13/2010,ODI # 2943
26,26,29,89.65,2,0,v South Africa,Jaipur,2/21/2010,ODI # 2961
68*,68,35,194.28,7,4,v South Africa,Gwalior,2/24/2010,ODI # 2962
9,9,7,128.57,0,1,v South Africa,Ahmedabad,2/27/2010,ODI # 2963
38*,38,45,84.44,3,1,v Bangladesh,Dambulla,6/16/2010,ODI # 2993
56,56,71,78.87,2,1,v Pakistan,Dambulla,6/19/2010,ODI # 2996
41,41,53,77.35,6,0,v Sri Lanka,Dambulla,6/22/2010,ODI # 2999
38,38,50,76,2,1,v Sri Lanka,Dambulla,6/24/2010,ODI # 3001
2,2,9,22.22,0,0,v New Zealand,Dambulla,8/10/2010,ODI # 3030
23*,23,38,60.52,2,0,v Sri Lanka,Dambulla,8/16/2010,ODI # 3032
10,10,16,62.5,2,0,v Sri Lanka,Dambulla,8/22/2010,ODI # 3038
38,38,75,50.66,3,0,v New Zealand,Dambulla,8/25/2010,ODI # 3039
67,67,100,67,5,1,v Sri Lanka,Dambulla,8/28/2010,ODI # 3040
0,0,1,0,0,0,v Australia,Visakhapatnam,10/20/2010,ODI # 3060
25,25,35,71.42,1,0,v South Africa,Durban,1/12/2011,ODI # 3079
